,Ks,T1=0.0,T1=0.1,T1=0.2,T1=0.30000000000000004,T1=0.4,T1=0.5,T1=0.6000000000000001
0,8.0,0.29676067032285475,0.27567022258845997,0.2536817955651028,0.22326138447747298,0.1826514627355537,0.12418343455490308,inf
1,8.040000000000001,0.29568863497229037,0.2747377193480769,0.252928569528767,0.22293065222512068,0.1833980978195406,0.12994895299608455,inf
2,8.08,0.2946241236623628,0.27381016294149507,0.2521814378920907,0.2225847856078291,0.1840639447520952,0.13436084839271242,inf
3,8.120000000000001,0.2935670944051242,0.27289263700985544,0.251437855285572,0.22222721655058053,0.184654437385284,0.1379346285585612,inf
4,8.16,0.2925107864178573,0.271978543759124,0.2506982963062383,0.22186165005471076,0.18517518284599072,0.14092265293210054,inf
5,8.200000000000001,0.2914593348124642,0.27106894016311994,0.24996112834298562,0.22148531793838247,0.18562472847129996,0.14345791613027753,inf
6,8.24,0.2904134256966557,0.27015909413654154,0.2492260077398223,0.22109868100766406,0.18601515288774292,0.14565689153762848,inf
7,8.280000000000001,0.28937465579909216,0.2692558765975322,0.24849293753727533,0.22070265798544303,0.18635735244095544,0.14757343294264996,inf
8,8.32,0.28833674375983454,0.2683597025327747,0.24776213666590666,0.2202948355870836,0.18664724604703292,0.1492575091511546,0.09131990107477754
9,8.360000000000001,0.28730410039116067,0.26746634180455586,0.24703487647506572,0.21986846183434527,0.18689082463285467,0.15072592265724155,0.1018274571657824
10,8.4,0.2862789062906279,0.2665800464297532,0.24630736469358933,0.21942589098459955,0.1871003046449428,0.15204207054598604,0.10819495772046621
11,8.440000000000001,0.28526484301597715,0.2657032312893417,0.24557417768039863,0.21897634307379293,0.18727248106485067,0.15321284393565782,0.11286144704169306
12,8.48,0.2842622400071505,0.2648295772735306,0.24484425450979352,0.21852146817338264,0.18739968597712808,0.15425938890294988,0.116534464443691
13,8.520000000000001,0.2832640385509434,0.26396137021929467,0.24411856195755674,0.21805973068362716,0.1874910566788152,0.15519776851989878,0.11955824009253209
14,8.56,0.28227061641651413,0.2630961578769238,0.24339519972544219,0.21759916940358542,0.18754958964478172,0.15603093532208312,0.12209790777714816
15,8.6,0.28128981288570903,0.2622388678218624,0.24267469233880698,0.2171415322967087,0.18758697042259478,0.15677773516347218,0.12426679555018061
16,8.64,0.28031563266274223,0.2613875460112902,0.24195478861474226,0.2166737260002595,0.18759710321619227,0.1574512243106791,0.12616101624398723
17,8.68,0.27934758811061683,0.2605394825156639,0.2412337260131818,0.21619706565257765,0.18758710350655672,0.15806160836087335,0.1278247539643428
18,8.72,0.2783809921668401,0.2596948087588193,0.24051347568255613,0.2157259998431549,0.18756145713025832,0.1586065226638315,0.12929139011139038
19,8.76,0.2774246174088486,0.2588525847352211,0.23979275452645435,0.215252569653201,0.18751443960796954,0.15908835267711702,0.1305959686771552
20,8.8,0.27647424963576783,0.2580175746122122,0.2390808291705601,0.21477980921286038,0.1874463498713901,0.15951847407597491,0.13175715803193308
21,8.84,0.2755318440123581,0.25718634660424233,0.2383773897272529,0.21430211534875407,0.1873599393212124,0.1598978739884561,0.1327914755994866
22,8.88,0.2745966570504752,0.2563589247536627,0.23767725206071677,0.21381754472810777,0.1872515539512873,0.16023864581035524,0.13373086808642132
23,8.92,0.27367309014196983,0.2555336048935087,0.23698450095108528,0.21333009774935618,0.18712521457230724,0.16053369012527788,0.13458399893107278
24,8.96,0.2727583337954094,0.25471513843799237,0.2362981107459078,0.21283195952214487,0.18698657807711627,0.16078793681539066,0.1353512033837458
25,9.0,0.27184820746331945,0.253905370900134,0.2356178926390012,0.21232825620196463,0.18683121418623672,0.16100350077580783,0.1360426254064335
26,9.040000000000001,0.27094329786509747,0.25310283304969733,0.2349362407009983,0.21182122887469962,0.18666215702984354,0.16118001405727006,0.1366684527764494
27,9.08,0.27004191792542387,0.2523082048238165,0.23425462054209342,0.21130715205870312,0.18648781004390919,0.16132481010497302,0.13723116239202968
28,9.120000000000001,0.2691481931624423,0.25152086256933515,0.23357725698238455,0.21079584436149856,0.18629491535127696,0.16144433747728257,0.13773218996810627
29,9.16,0.26825740757837546,0.25074756020031247,0.23290884754620617,0.21028397486555722,0.18609381796814142,0.1615356677278221,0.13818560496377263
30,9.200000000000001,0.26737103093231906,0.2499777227530776,0.23224205066012207,0.20977137654392505,0.1858791150510037,0.16160923525805013,0.13858846259805918
31,9.24,0.2664904304939038,0.24920514842105312,0.23157527824156932,0.20925583594414282,0.18564579900988834,0.1616669463419753,0.13894438009272553
32,9.280000000000001,0.2656091085312527,0.2484364350641946,0.23091304238832305,0.20874585626531023,0.18540153066545595,0.16169154735635294,0.1392650308834596
33,9.32,0.2647336821712762,0.24766566743928764,0.23024922837063103,0.20823396076765602,0.18514769923295424,0.16169532788230911,0.13954774256549649
34,9.360000000000001,0.2638685919275288,0.2468982219159262,0.22958862331099558,0.20772569568734078,0.18488579347805925,0.16167678604533745,0.13979484357013652
35,9.4,0.2630136157148614,0.24613592708228665,0.22893369628565258,0.20722135971000588,0.18461723878971117,0.16163972852122244,0.1400024241097449
36,9.44,0.26216792354472906,0.24537888212574516,0.22828445027145397,0.20671128985397388,0.18433529343255112,0.16158789704766,0.14018002504289945
37,9.48,0.26132653909960085,0.24462684964626613,0.227641266336676,0.20619977117990845,0.18405171061075684,0.16152508302229673,0.1403357997747818
38,9.52,0.2604870757301936,0.2438803739779179,0.2269990637175115,0.205686808320937,0.18376162606141974,0.16144520814999605,0.1404621332446416
