Ks,T1=0.0,T1=0.1,T1=0.2,T1=0.30000000000000004,T1=0.4,T1=0.5,T1=0.6000000000000001
8.8,0.2979090694150873,0.27557425815527564,0.24894967152190162,0.21232154745435886,0.18138725808477144,0.12467747155333803,inf
8.844000000000001,0.2968323362022782,0.2746543415338201,0.2483183011456943,0.21236295064803182,0.18215981245445026,0.1303418762334341,inf
8.888,0.29576319390497635,0.27373723935856037,0.24768926922753776,0.21237355124531285,0.18284509644022157,0.13469209128016651,inf
8.932,0.2947021162996531,0.27282988858078777,0.24705843624246435,0.21235542583572645,0.18345046252350536,0.13820405503763125,inf
8.976,0.29364273617274517,0.2719259329349247,0.24642164958265367,0.21231287328588594,0.1839895717383636,0.14113646754021836,inf
9.020000000000001,0.29258260147028503,0.2710260379535054,0.2457888569335878,0.21224566162123595,0.18446539114314142,0.1436415168569244,inf
9.064,0.2915319984766242,0.2701323311594836,0.2451519145540756,0.21215855939929346,0.18488448721393866,0.1457922879197853,inf
9.108,0.2904901101451485,0.2692521274957248,0.24451370329539435,0.21204964682137487,0.18525363031943665,0.14765935368810532,inf
9.152000000000001,0.2894571936517672,0.2683739316489588,0.2438730983667375,0.21192281499105015,0.18556314782214836,0.14930760349251396,inf
9.196000000000002,0.28843222775630833,0.2675019128787196,0.24323152950501,0.2117817325844773,0.18582419695434899,0.15076227246252405,inf
9.24,0.2874098875125387,0.26663362782318056,0.24259376589355477,0.2116194808167574,0.18604280067030596,0.1520592564774857,inf
9.284,0.28639718983241613,0.26577083321980616,0.24196061861443396,0.2114338991699069,0.18622845368671376,0.1532278799973373,0.08950242982413352
9.328000000000001,0.2853886258328682,0.2649201524134352,0.24132926765065824,0.21123294615675997,0.1863798078576472,0.15427025489352025,0.09904718737265977
9.372000000000002,0.28438376055900483,0.26407718756948184,0.24069240695143376,0.21100423656151918,0.18650099372182832,0.15519673373312823,0.1051301386057585
9.416,0.2833797217281735,0.26323905171749035,0.240052505335049,0.2107528131743066,0.18658302031769547,0.15602481924885434,0.10964753361870407
9.459999999999999,0.2823840168835907,0.2624076406402715,0.2394185452685077,0.21048930849655303,0.1866311239020777,0.15676023585648666,0.11324501243390171
9.504,0.2813906469653167,0.2615787736323541,0.23877802706105222,0.21021358436829454,0.1866534422051689,0.15741560093979104,0.11622209873761377
9.548,0.2804078456176963,0.260752725111898,0.23813463392368112,0.20992559401465258,0.18664956878006508,0.15799688346681343,0.11874920416885319
9.592,0.27943182739094796,0.2599283714066331,0.2374905729979622,0.20962464810347073,0.18661666757932271,0.15850699230021967,0.1209228164336764
9.636,0.27846057923683737,0.2591064378798617,0.23684669118920612,0.20931173764320427,0.18655770784337525,0.15896498917412052,0.12282393787784253
9.68,0.277498715223527,0.25828780386936767,0.23620289728449817,0.2089849631031634,0.18647504342597093,0.15937270399725195,0.12450183439805748
9.724,0.2765428794889082,0.257470256441061,0.2355560788325661,0.20864410058103958,0.18637199854330988,0.15974023532767162,0.12599106498991236
9.768,0.27559556027429266,0.25665211476917,0.23490689800457573,0.20829554899328853,0.18625976922477988,0.16006508159465843,0.12732220857783647
9.812,0.2746498521350492,0.25583723636199124,0.23425903227689698,0.20793519846206213,0.1861393735109384,0.16035699520777488,0.12850799780151914
9.856,0.27371741354567847,0.25502356675433113,0.23361418771771128,0.20756851491622041,0.18600174602208142,0.16062120629617757,0.12957528586666806
9.9,0.27279140714905264,0.2542143649806477,0.23296558726970884,0.20719486468178996,0.18584591657569824,0.16085681190150333,0.13054636593758204
9.944,0.2718725050158505,0.2534054469992087,0.23231997061866858,0.20681621129300065,0.18567976934956268,0.1610684637315509,0.1314234658603567
9.988,0.2709598631326963,0.2525988505576073,0.23167747619530607,0.20643782453263337,0.18550141076348384,0.1612557881350033,0.13220895199146834
10.032,0.2700520396362512,0.25179567850817386,0.23103849016475847,0.20605336221921353,0.1853067905911789,0.16140698461750289,0.1329174649825209
10.076,0.2691493655546636,0.2509985844874346,0.2304011552832382,0.20566472116642126,0.18510376942270393,0.1615288139805525,0.13356639429114578
10.120000000000001,0.2682479178059245,0.2502058311261884,0.22976345769896486,0.2052680340463804,0.18488874000869235,0.16163430840204432,0.1341618343351244
10.164,0.2673543777048184,0.249416668394647,0.2291268188912453,0.2048668139912524,0.1846613428090644,0.16171224852303218,0.13469193133919943
10.208,0.26646800575471036,0.24864452094913403,0.22849374780753148,0.20446375301321687,0.1844274665735919,0.1617724788283021,0.13516948967101322
10.252,0.2655855033026913,0.24787566859347895,0.2278532808159804,0.2040619110678698,0.18419144458439904,0.1618171052089327,0.13560958931967163
10.296000000000001,0.2647080054927796,0.24711014502729922,0.22721385118216103,0.2036559128864603,0.18394947988139937,0.16184175884226518,0.136012455346333
10.34,0.2638348657311276,0.24634939981029427,0.22657822067293884,0.20325059478661803,0.1836996135752895,0.16184864117327427,0.13637611712831488
10.384,0.2629625777618501,0.24558884387750124,0.22594969861713837,0.2028340612365062,0.18343693769177763,0.1618387211489589,0.13670491554856093
10.427999999999999,0.2620945207270306,0.2448269993115803,0.2253251654159799,0.2024112990089286,0.1831648097078912,0.16180932650087052,0.1369954467587211
10.472,0.2612332460955924,0.24406941040742852,0.22469707204356276,0.20199082517769365,0.18288716328703253,0.16176079597074505,0.13724948305283538
10.516,0.26038028133476043,0.24331478078425672,0.2240650134013605,0.20156351100189543,0.1826017052267023,0.16169914402094931,0.1374763308337216
10.559999999999999,0.25953064485515176,0.242568278066249,0.22343386339240506,0.201131150307944,0.1823092084738811,0.16162441587051296,0.13767465773065948
