,vol from model,vol from surface
0,0.29848750137414815,0.29636083106477606
1,0.2973765565117255,0.2952741352020166
2,0.29627221657791225,0.29419465988311994
3,0.29517715460298855,0.29312235713122753
4,0.2940924769827289,0.29205717928826275
5,0.2930137385045393,0.29099907901281286
6,0.2919440168013057,0.2899480092780247
7,0.2908800112077819,0.2889039233695149
8,0.28982314318713626,0.28786677488329343
9,0.288774427185895,0.2868365177237011
10,0.28773051785476417,0.28581310610136157
11,0.2866943650328005,0.28479649453114514
12,0.28566239247704617,0.283786637830148
13,0.2846361670151243,0.282783491115684
14,0.2836154047330549,0.2817870098032896
15,0.28260065842273324,0.28079714960474234
16,0.281591727581194,0.2798138665260927
17,0.2805935797563806,0.27883711686570867
18,0.27960157478329006,0.27786685721233345
19,0.27861730628248016,0.27690304444315617
20,0.2776370328301398,0.2759456357218949
21,0.2766649321849178,0.27499458849689346
22,0.275699323716329,0.2740498604992297
23,0.2747424762854845,0.27311140974083714
24,0.2737911467415103,0.2721791945126386
25,0.27284578964307005,0.27125317338269284
26,0.27190752445166455,0.2703333051943528
27,0.27097468491516047,0.26941954906443627
28,0.27004972625067925,0.2685118643814094
29,0.26912934466867827,0.26761021080358127
30,0.2682134684700452,0.2667145482573112
31,0.26730627598864987,0.26582483693522746
32,0.2664069492596435,0.26494103729445806
33,0.2655133649985406,0.2640631100548736
34,0.2646265817061695,0.2631910161973411
35,0.263743915965494,0.26232471696198995
36,0.2628679773855169,0.2614641738464894
37,0.26199734409586223,0.26060934860433704
38,0.26113093511002744,0.25976020324315924
39,0.260273019623828,0.2589167000230223
40,0.25942085070980403,0.2580788014547554
41,0.25857485654696344,0.25724647029828435
42,0.25773332744836513,0.25641966956097617
43,0.2568999671639252,0.2555983624959953
44,0.25607250986095226,0.2547825126006705
45,0.2552495231522868,0.25397208361487195
46,0.2544334506345333,0.2531670395194003
47,0.2536222831035114,0.2523673445343855
48,0.25281748039446506,0.2515729631176964
49,0.2520179364541615,0.2507838599633616
50,0.2512266778915254,0.25
51,0.2504404534325471,0.24922134838926185
52,0.24965742242553668,0.24844787052428075
53,0.24888279531393062,0.2476795320281354
54,0.24811324964689296,0.24691629875232168
55,0.24734792041497047,0.24615813677523507
56,0.2465857623867228,0.24540501240066287
57,0.24583056020356894,0.24465689215628672
58,0.24507980882297922,0.24391374279219477
59,0.24433365291366183,0.24317553127940414
60,0.24358957815676263,0.2424422248083927
61,0.2428521472175394,0.24171379078764102
62,0.2421199158791077,0.2409901968421839
63,0.24139295603835453,0.24027141081217118
64,0.24066740071112816,0.23955740075143891
65,0.23994869209214165,0.23884813492608903
66,0.23923558840406547,0.23814358181307915
67,0.23852608902769562,0.23744371009882168
68,0.2378228310473877,0.23674848867779189
69,0.23712586380926806,0.2360578866511455
70,0.23643081178653447,0.2353718733253454
71,0.23574030152208536,0.23469041821079756
72,0.23505430463089377,0.2340134910204958
73,0.2343737263822143,0.23334106166867577
74,0.23369688609319753,0.23267310026947788
75,0.23302452234272358,0.23200957713561882
76,0.23235767695949472,0.23135046277707233
77,0.23169746286034207,0.23069572789975842
78,0.23103992405149593,0.23004534340424143
79,0.23038745829095275,0.22939928038443672
80,0.2297391538927525,0.228757510126326
81,0.2290918964469428,0.22812000410668096
82,0.22845337177468422,0.2274867339917958
83,0.22781659669881812,0.22685767163622794
84,0.22718391613893277,0.22623278908154684
85,0.2265551702027857,0.22561205855509162
86,0.22593161134842382,0.22499545246873676
87,0.22531104160828208,0.22438294341766576
88,0.22469451142538022,0.22377450417915334
89,0.22408630767492257,0.22317010771135543
90,0.22347913344891115,0.2225697271521073
91,0.22287460320440888,0.22197333581772966
92,0.22227178414959392,0.22138090720184284
93,0.2216750631928157,0.22079241497418864
94,0.2210833887201546,0.22020783297946
95,0.22049528703495827,0.2196271352361388
96,0.21991537715531567,0.21905029593534084
97,0.2193366326162013,0.21847728943966882
98,0.21876192040491876,0.21790809028207317
99,0.21818961567901848,0.21734267316471978
100,0.2176195733998359,0.21678101295786595
